TaskID,ProjectID,ProjectDiscipline,Status,Description,Location,Created,Target,Actual,Delay,Priority,Overdue,RootCause,Risk,Hours,Comments,AssignedTo,TeamCapacityHours
T-1134,PRJ024,PRJ-ARC,On Hold,Concrete Work,Basement,07/12/2025,08/11/2025,,-1.0,Medium,False,None,Medium,82.7,Completed 1 day(s) ahead of schedule,Meena Pillai,30
T-1135,PRJ021,PRJ-STR,In Progress,Plumbing Work,Lobby,02/23/2025,03/18/2025,,1.0,Medium,False,Labor Shortage,High,88.1,Delay of 1 day(s) associated with labor shortage,Arjun Desai,40
T-1136,PRJ039,PRJ-MEP,In Progress,Underground Utilities,Roof,09/02/2025,09/05/2025,,3.0,Low,False,Equipment Failure,Low,137.3,Delay of 3 day(s) associated with equipment failure,Lakshmi Iyer,40
T-1137,PRJ056,PRJ-ARC,In Progress,Site Preparation,West Yard,11/14/2024,11/22/2024,,-3.0,High,False,None,Medium,49.6,Completed 3 day(s) ahead of schedule,Rajan Mehta,40
T-1138,PRJ013,PRJ-ARC,Closed,Site Preparation,North Wing,05/16/2024,05/30/2024,06/01/2024,2.0,Medium,True,Crane Breakdown,Medium,100.8,Delay of 2 day(s) associated with crane breakdown,Asha Verma,40
T-1139,PRJ071,PRJ-MEP,Closed,Site Preparation,North Wing,04/20/2024,04/28/2024,04/21/2024,-7.0,High,False,None,Low,81.2,Completed 7 day(s) ahead of schedule,Dev Kapoor,40
T-1140,PRJ046,PRJ-MEP,Closed,Underground Utilities,Roof,06/09/2024,06/15/2024,06/08/2024,-7.0,Low,False,None,Medium,27.9,Completed 7 day(s) ahead of schedule,Priya Nair,40
T-1141,PRJ089,PRJ-ARC,Closed,HVAC Installation,Grid A5,05/26/2024,06/25/2024,06/28/2024,3.0,Medium,True,Site Constraint,Low,98.1,Delay of 3 day(s) associated with site constraint,Suresh Kumar,40
T-1142,PRJ028,PRJ-INT,In Progress,Structural Installation,Basement,08/23/2024,09/19/2024,,6.0,Medium,False,Crane Breakdown,Medium,113.0,Delay of 6 day(s) associated with crane breakdown,Meena Pillai,30
T-1143,PRJ006,PRJ-MEP,Closed,Concrete Work,Grid A5,06/05/2024,06/20/2024,06/17/2024,-3.0,High,False,None,High,49.3,Completed 3 day(s) ahead of schedule,Arjun Desai,40
T-1144,PRJ032,PRJ-INT,Closed,Concrete Work,Basement,03/07/2025,03/16/2025,03/19/2025,3.0,Medium,True,Equipment Failure,High,74.7,Delay of 3 day(s) associated with equipment failure,Lakshmi Iyer,40
T-1145,PRJ098,PRJ-MEP,In Progress,Electrical Installation,Mechanical,04/18/2024,04/26/2024,,2.0,Medium,False,Approval Delay,Medium,23.2,Delay of 2 day(s) associated with approval delay,Rajan Mehta,40
T-1146,PRJ033,PRJ-STR,On Hold,Structural Installation,Roof,03/29/2025,04/26/2025,,1.0,Medium,False,Labor Shortage,Low,37.2,Delay of 1 day(s) associated with labor shortage,Asha Verma,40
T-1147,PRJ071,PRJ-INT,Open,Concrete Work,Grid A5,08/31/2024,09/12/2024,,2.0,Medium,False,Material Delay,Medium,106.4,Delay of 2 day(s) associated with material delay,Dev Kapoor,40
T-1148,PRJ085,PRJ-STR,On Hold,HVAC Installation,South Facade,05/16/2025,05/19/2025,,10.0,Medium,False,Crane Breakdown,High,61.0,Delay of 10 day(s) associated with crane breakdown,Priya Nair,40
T-1149,PRJ029,PRJ-INT,Closed,Electrical Installation,West Yard,01/09/2025,01/23/2025,01/19/2025,-4.0,Medium,False,None,Medium,41.7,Completed 4 day(s) ahead of schedule,Suresh Kumar,40
T-1150,PRJ065,PRJ-MEP,Open,Flooring Work,Basement,10/22/2025,11/06/2025,,4.0,Low,False,Design Revision,High,81.9,Delay of 4 day(s) associated with design revision,Meena Pillai,30
T-1151,PRJ021,PRJ-MEP,Closed,Painting and Finishes,Grid A5,11/17/2024,12/07/2024,12/03/2024,-4.0,High,False,None,Low,59.3,Completed 4 day(s) ahead of schedule,Arjun Desai,40
T-1152,PRJ037,PRJ-SITE,Open,Structural Installation,Grid A5,08/03/2024,08/15/2024,,1.0,High,False,Approval Delay,High,60.9,Delay of 1 day(s) associated with approval delay,Lakshmi Iyer,40
T-1153,PRJ030,PRJ-STR,Closed,Structural Installation,North Wing,03/06/2025,04/03/2025,04/01/2025,-2.0,Low,False,None,Low,97.2,Completed 2 day(s) ahead of schedule,Rajan Mehta,40
T-1154,PRJ068,PRJ-SITE,Closed,Site Preparation,Grid A5,04/25/2025,05/16/2025,05/12/2025,-4.0,Medium,False,None,Low,40.1,Completed 4 day(s) ahead of schedule,Asha Verma,40
T-1155,PRJ088,PRJ-INT,Closed,Site Preparation,Roof,11/16/2024,12/16/2024,12/15/2024,-1.0,Low,False,None,Medium,47.8,Completed 1 day(s) ahead of schedule,Dev Kapoor,40
T-1156,PRJ026,PRJ-ARC,Closed,Underground Utilities,Grid A5,02/12/2025,02/25/2025,02/19/2025,-6.0,Medium,False,None,Low,79.6,Completed 6 day(s) ahead of schedule,Priya Nair,40
T-1157,PRJ030,PRJ-ARC,Open,Underground Utilities,Basement,12/09/2024,12/30/2024,,2.0,Medium,False,Weather Delay,Low,104.1,Delay of 2 day(s) associated with weather delay,Suresh Kumar,40
T-1158,PRJ083,PRJ-SITE,In Progress,Underground Utilities,West Yard,08/11/2024,08/24/2024,,-3.0,Medium,False,None,Low,112.1,Completed 3 day(s) ahead of schedule,Meena Pillai,30
T-1159,PRJ047,PRJ-STR,In Progress,Curtain Wall Installation,Basement,08/16/2024,09/07/2024,,-0.0,Medium,False,None,Medium,55.0,Completed on schedule,Arjun Desai,40
T-1160,PRJ052,PRJ-SITE,Open,Electrical Installation,Lobby,10/24/2025,11/16/2025,,-0.0,High,False,None,Medium,103.1,Completed on schedule,Lakshmi Iyer,40
T-1161,PRJ071,PRJ-STR,In Progress,Curtain Wall Installation,Mechanical,05/07/2025,05/19/2025,,-0.0,Low,False,None,Low,51.5,Completed on schedule,Rajan Mehta,40
T-1162,PRJ014,PRJ-SITE,In Progress,Flooring Work,South Facade,03/10/2024,04/08/2024,,-4.0,High,False,None,Medium,129.8,Completed 4 day(s) ahead of schedule,Asha Verma,40
T-1163,PRJ088,PRJ-ARC,In Progress,Curtain Wall Installation,Grid A5,12/03/2025,12/30/2025,,6.0,Low,False,Crane Breakdown,High,41.0,Delay of 6 day(s) associated with crane breakdown,Dev Kapoor,40
T-1164,PRJ037,PRJ-MEP,In Progress,Flooring Work,Grid A5,06/03/2025,07/01/2025,,-1.0,Low,False,None,Low,114.9,Completed 1 day(s) ahead of schedule,Priya Nair,40
T-1165,PRJ066,PRJ-INT,Closed,Site Preparation,Mechanical,02/06/2024,02/15/2024,02/15/2024,0.0,Medium,False,None,Low,55.3,Completed on schedule,Suresh Kumar,40
T-1166,PRJ044,PRJ-STR,In Progress,HVAC Installation,North Wing,06/15/2025,07/08/2025,,6.0,Medium,False,Equipment Failure,High,135.4,Delay of 6 day(s) associated with equipment failure,Meena Pillai,30
T-1167,PRJ076,PRJ-SITE,Closed,Structural Installation,North Wing,03/06/2025,03/11/2025,03/14/2025,3.0,High,True,Equipment Failure,High,92.7,Delay of 3 day(s) associated with equipment failure,Arjun Desai,40
T-1168,PRJ062,PRJ-ARC,In Progress,Electrical Installation,Grid A5,10/30/2025,11/04/2025,,5.0,High,False,Crane Breakdown,Medium,44.5,Delay of 5 day(s) associated with crane breakdown,Lakshmi Iyer,40
T-1169,PRJ018,PRJ-SITE,In Progress,Painting and Finishes,Grid A5,12/23/2024,01/22/2025,,3.0,Medium,False,Crane Breakdown,High,59.3,Delay of 3 day(s) associated with crane breakdown,Rajan Mehta,40
T-1170,PRJ019,PRJ-ARC,In Progress,HVAC Installation,North Wing,01/13/2025,01/20/2025,,3.0,High,False,Crane Breakdown,Low,98.4,Delay of 3 day(s) associated with crane breakdown,Asha Verma,40
T-1171,PRJ088,PRJ-SITE,In Progress,Plumbing Work,Mechanical,08/17/2024,09/13/2024,,0.0,Medium,False,None,Low,106.6,Completed on schedule,Dev Kapoor,40
T-1172,PRJ052,PRJ-SITE,In Progress,Underground Utilities,Roof,08/22/2024,09/06/2024,,3.0,Medium,False,Crane Breakdown,Medium,72.9,Delay of 3 day(s) associated with crane breakdown,Priya Nair,40
T-1173,PRJ028,PRJ-MEP,In Progress,Electrical Installation,Mechanical,03/27/2025,04/07/2025,,-1.0,Medium,False,None,Low,76.3,Completed 1 day(s) ahead of schedule,Suresh Kumar,40
T-1174,PRJ015,PRJ-ARC,Open,Plumbing Work,Mechanical,08/27/2025,09/01/2025,,3.0,High,False,Labor Shortage,Medium,97.8,Delay of 3 day(s) associated with labor shortage,Meena Pillai,30
T-1175,PRJ013,PRJ-INT,In Progress,Painting and Finishes,Lobby,10/12/2025,11/02/2025,,0.0,Low,False,None,Medium,79.0,Completed on schedule,Arjun Desai,40
T-1176,PRJ092,PRJ-ARC,In Progress,Underground Utilities,Mechanical,07/16/2025,08/08/2025,,-3.0,Low,False,None,Medium,36.2,Completed 3 day(s) ahead of schedule,Lakshmi Iyer,40
T-1177,PRJ098,PRJ-ARC,In Progress,Structural Installation,North Wing,03/21/2025,04/06/2025,,-2.0,Medium,False,None,Medium,50.6,Completed 2 day(s) ahead of schedule,Rajan Mehta,40
T-1178,PRJ040,PRJ-MEP,Closed,Underground Utilities,South Facade,12/31/2024,01/25/2025,01/22/2025,-3.0,High,False,None,Low,82.1,Completed 3 day(s) ahead of schedule,Asha Verma,40
T-1179,PRJ021,PRJ-ARC,In Progress,HVAC Installation,North Wing,09/04/2024,09/16/2024,,-1.0,High,False,None,Low,111.5,Completed 1 day(s) ahead of schedule,Dev Kapoor,40
T-1180,PRJ042,PRJ-INT,On Hold,Site Preparation,Grid A5,07/14/2025,08/01/2025,,6.0,Medium,False,Design Revision,Low,123.5,Delay of 6 day(s) associated with design revision,Priya Nair,40
T-1181,PRJ014,PRJ-ARC,Closed,HVAC Installation,West Yard,08/20/2024,08/31/2024,09/04/2024,4.0,High,True,Labor Shortage,Medium,98.4,Delay of 4 day(s) associated with labor shortage,Suresh Kumar,40
T-1182,PRJ055,PRJ-MEP,On Hold,HVAC Installation,South Facade,07/14/2024,08/02/2024,,-2.0,High,False,None,Low,83.6,Completed 2 day(s) ahead of schedule,Meena Pillai,30
T-1183,PRJ063,PRJ-INT,Closed,Structural Installation,Basement,09/25/2025,10/01/2025,09/27/2025,-4.0,Medium,False,None,Low,97.5,Completed 4 day(s) ahead of schedule,Arjun Desai,40
T-1184,PRJ099,PRJ-SITE,Open,Painting and Finishes,South Facade,03/06/2025,03/22/2025,,-7.0,Medium,False,None,Low,55.0,Completed 7 day(s) ahead of schedule,Lakshmi Iyer,40
T-1185,PRJ032,PRJ-STR,In Progress,HVAC Installation,Grid A5,09/15/2024,10/03/2024,,4.0,High,False,Design Revision,Low,70.4,Delay of 4 day(s) associated with design revision,Rajan Mehta,40
T-1186,PRJ020,PRJ-ARC,Open,HVAC Installation,North Wing,09/23/2025,10/11/2025,,3.0,Medium,False,Site Constraint,High,50.3,Delay of 3 day(s) associated with site constraint,Asha Verma,40
T-1187,PRJ014,PRJ-INT,Closed,Plumbing Work,Lobby,12/03/2025,12/18/2025,12/15/2025,-3.0,Medium,False,None,Low,37.5,Completed 3 day(s) ahead of schedule,Dev Kapoor,40
T-1188,PRJ038,PRJ-INT,In Progress,Concrete Work,Basement,08/20/2024,09/10/2024,,1.0,Low,False,Equipment Failure,High,85.0,Delay of 1 day(s) associated with equipment failure,Priya Nair,40
T-1189,PRJ061,PRJ-STR,In Progress,Concrete Work,South Facade,01/15/2025,02/01/2025,,-1.0,Medium,False,None,Low,80.6,Completed 1 day(s) ahead of schedule,Suresh Kumar,40
T-1190,PRJ007,PRJ-STR,On Hold,Site Preparation,Roof,12/18/2024,12/28/2024,,6.0,Medium,False,Weather Delay,Medium,95.6,Delay of 6 day(s) associated with weather delay,Meena Pillai,30
T-1191,PRJ076,PRJ-STR,Open,Concrete Work,North Wing,05/27/2025,06/05/2025,,-1.0,High,False,None,Medium,91.4,Completed 1 day(s) ahead of schedule,Arjun Desai,40
T-1192,PRJ047,PRJ-SITE,In Progress,Underground Utilities,South Facade,11/25/2025,12/16/2025,,3.0,Low,False,Material Delay,Low,82.3,Delay of 3 day(s) associated with material delay,Lakshmi Iyer,40
T-1193,PRJ080,PRJ-SITE,Closed,Curtain Wall Installation,West Yard,02/04/2025,03/05/2025,03/17/2025,12.0,Low,True,Crane Breakdown,High,91.7,Delay of 12 day(s) associated with crane breakdown,Rajan Mehta,40
T-1194,PRJ047,PRJ-MEP,Open,Flooring Work,Lobby,08/05/2025,08/29/2025,,-1.0,High,False,None,High,73.7,Completed 1 day(s) ahead of schedule,Asha Verma,40
T-1195,PRJ016,PRJ-STR,In Progress,Curtain Wall Installation,Grid A5,03/10/2025,03/30/2025,,2.0,Low,False,Crane Breakdown,High,87.4,Delay of 2 day(s) associated with crane breakdown,Dev Kapoor,40
T-1196,PRJ003,PRJ-SITE,Closed,Flooring Work,Roof,10/09/2025,11/06/2025,10/31/2025,-6.0,Low,False,None,Low,53.2,Completed 6 day(s) ahead of schedule,Priya Nair,40
T-1197,PRJ056,PRJ-ARC,Open,Site Preparation,Basement,10/22/2024,11/19/2024,,3.0,Medium,False,Labor Shortage,Low,86.1,Delay of 3 day(s) associated with labor shortage,Suresh Kumar,40
T-1198,PRJ054,PRJ-MEP,In Progress,Painting and Finishes,Roof,10/08/2024,10/25/2024,,5.0,High,False,Crane Breakdown,Medium,95.1,Delay of 5 day(s) associated with crane breakdown,Meena Pillai,30
T-1199,PRJ082,PRJ-SITE,In Progress,Plumbing Work,Mechanical,11/04/2024,11/10/2024,,-2.0,Low,False,None,Low,54.9,Completed 2 day(s) ahead of schedule,Arjun Desai,40
T-1200,PRJ088,PRJ-MEP,Closed,Site Preparation,Mechanical,12/28/2025,01/17/2026,01/17/2026,-0.0,Medium,False,None,Medium,76.6,Completed on schedule,Lakshmi Iyer,40
T-1201,PRJ017,PRJ-INT,Open,Electrical Installation,Mechanical,03/22/2025,04/11/2025,,-4.0,High,False,None,Medium,56.3,Completed 4 day(s) ahead of schedule,Rajan Mehta,40
T-1202,PRJ032,PRJ-ARC,On Hold,Curtain Wall Installation,North Wing,04/21/2024,05/01/2024,,5.0,High,False,Equipment Failure,Medium,59.2,Delay of 5 day(s) associated with equipment failure,Asha Verma,40
T-1203,PRJ021,PRJ-MEP,Closed,HVAC Installation,West Yard,01/30/2024,02/25/2024,02/25/2024,-0.0,Medium,False,None,High,41.3,Completed on schedule,Dev Kapoor,40
T-1204,PRJ011,PRJ-ARC,Open,Painting and Finishes,Roof,01/13/2025,02/09/2025,,2.0,Low,False,Material Delay,Medium,113.0,Delay of 2 day(s) associated with material delay,Priya Nair,40
T-1205,PRJ001,PRJ-ARC,In Progress,Curtain Wall Installation,Basement,08/11/2025,08/23/2025,,3.0,Low,False,Design Revision,Low,107.0,Delay of 3 day(s) associated with design revision,Suresh Kumar,40
T-1206,PRJ009,PRJ-SITE,In Progress,Plumbing Work,South Facade,12/15/2024,12/31/2024,,-0.0,Low,False,None,Low,91.1,Completed on schedule,Meena Pillai,30
T-1207,PRJ053,PRJ-INT,Closed,Electrical Installation,North Wing,02/12/2025,02/20/2025,02/23/2025,3.0,Low,True,Labor Shortage,Medium,134.2,Delay of 3 day(s) associated with labor shortage,Arjun Desai,40
T-1208,PRJ016,PRJ-STR,In Progress,HVAC Installation,West Yard,08/05/2025,08/12/2025,,1.0,Medium,False,Labor Shortage,Medium,69.3,Delay of 1 day(s) associated with labor shortage,Lakshmi Iyer,40
T-1209,PRJ020,PRJ-MEP,Open,Electrical Installation,Basement,01/11/2025,01/21/2025,,5.0,Low,False,Equipment Failure,Low,166.0,Delay of 5 day(s) associated with equipment failure,Rajan Mehta,40
T-1210,PRJ012,PRJ-ARC,Open,Concrete Work,Mechanical,10/25/2025,11/07/2025,,5.0,Medium,False,Design Revision,Medium,68.2,Delay of 5 day(s) associated with design revision,Asha Verma,40
T-1211,PRJ073,PRJ-SITE,On Hold,Structural Installation,Lobby,04/10/2025,04/20/2025,,6.0,Medium,False,Labor Shortage,Medium,82.7,Delay of 6 day(s) associated with labor shortage,Dev Kapoor,40
T-1212,PRJ064,PRJ-INT,In Progress,Structural Installation,South Facade,06/17/2025,06/24/2025,,6.0,Medium,False,Approval Delay,High,63.1,Delay of 6 day(s) associated with approval delay,Priya Nair,40
T-1213,PRJ097,PRJ-ARC,Closed,Site Preparation,West Yard,07/24/2025,08/08/2025,08/08/2025,0.0,Low,False,None,Medium,86.2,Completed on schedule,Suresh Kumar,40
T-1214,PRJ012,PRJ-SITE,In Progress,Plumbing Work,Basement,04/02/2025,04/22/2025,,-3.0,High,False,None,Low,100.1,Completed 3 day(s) ahead of schedule,Meena Pillai,30
T-1215,PRJ021,PRJ-SITE,On Hold,Electrical Installation,Roof,02/06/2024,02/18/2024,,3.0,Medium,False,Weather Delay,Low,71.6,Delay of 3 day(s) associated with weather delay,Arjun Desai,40
T-1216,PRJ046,PRJ-SITE,Open,Site Preparation,Grid A5,11/08/2024,11/25/2024,,3.0,Medium,False,Approval Delay,Medium,128.3,Delay of 3 day(s) associated with approval delay,Lakshmi Iyer,40
T-1217,PRJ065,PRJ-SITE,Open,Electrical Installation,West Yard,04/13/2024,04/23/2024,,-6.0,Low,False,None,Low,82.2,Completed 6 day(s) ahead of schedule,Rajan Mehta,40
T-1218,PRJ014,PRJ-ARC,On Hold,Electrical Installation,Lobby,01/07/2025,01/29/2025,,4.0,Low,False,Equipment Failure,Medium,83.1,Delay of 4 day(s) associated with equipment failure,Asha Verma,40
T-1219,PRJ022,PRJ-INT,On Hold,HVAC Installation,Mechanical,04/14/2024,05/05/2024,,1.0,High,False,Material Delay,Medium,47.7,Delay of 1 day(s) associated with material delay,Dev Kapoor,40
T-1220,PRJ043,PRJ-MEP,In Progress,Concrete Work,Basement,01/06/2025,02/04/2025,,-2.0,Medium,False,None,Low,87.6,Completed 2 day(s) ahead of schedule,Priya Nair,40
T-1221,PRJ002,PRJ-ARC,In Progress,Plumbing Work,Basement,09/08/2024,09/12/2024,,3.0,Medium,False,Site Constraint,Low,71.0,Delay of 3 day(s) associated with site constraint,Suresh Kumar,40
T-1222,PRJ040,PRJ-INT,In Progress,HVAC Installation,Lobby,01/15/2024,02/10/2024,,-1.0,Medium,False,None,Low,56.8,Completed 1 day(s) ahead of schedule,Meena Pillai,30
T-1223,PRJ076,PRJ-ARC,In Progress,Plumbing Work,Lobby,04/01/2024,04/13/2024,,8.0,Medium,False,Site Constraint,High,51.7,Delay of 8 day(s) associated with site constraint,Arjun Desai,40
T-1224,PRJ053,PRJ-MEP,Open,Plumbing Work,North Wing,02/27/2024,03/02/2024,,4.0,High,False,Design Revision,Medium,155.2,Delay of 4 day(s) associated with design revision,Lakshmi Iyer,40
T-1225,PRJ044,PRJ-ARC,Closed,Structural Installation,South Facade,09/16/2025,10/08/2025,10/05/2025,-3.0,Medium,False,None,Low,67.1,Completed 3 day(s) ahead of schedule,Rajan Mehta,40
T-1226,PRJ049,PRJ-MEP,In Progress,Painting and Finishes,South Facade,07/07/2025,07/14/2025,,-2.0,High,False,None,High,31.3,Completed 2 day(s) ahead of schedule,Asha Verma,40
T-1227,PRJ095,PRJ-ARC,Closed,Electrical Installation,Roof,06/01/2025,06/08/2025,06/08/2025,-0.0,Low,False,None,Medium,54.1,Completed on schedule,Dev Kapoor,40
T-1228,PRJ053,PRJ-STR,Open,Flooring Work,Basement,05/05/2024,06/04/2024,,0.0,Medium,False,None,Medium,73.5,Completed on schedule,Priya Nair,40
T-1229,PRJ054,PRJ-ARC,Open,Flooring Work,Basement,08/03/2025,08/12/2025,,-0.0,Medium,False,None,High,91.4,Completed on schedule,Suresh Kumar,40
T-1230,PRJ094,PRJ-SITE,Closed,Curtain Wall Installation,Roof,04/08/2025,04/26/2025,04/23/2025,-3.0,Low,False,None,Low,91.6,Completed 3 day(s) ahead of schedule,Meena Pillai,30
T-1231,PRJ016,PRJ-SITE,In Progress,Concrete Work,Basement,10/12/2024,10/20/2024,,-1.0,Low,False,None,Low,95.3,Completed 1 day(s) ahead of schedule,Arjun Desai,40
T-1232,PRJ010,PRJ-SITE,Closed,Underground Utilities,North Wing,01/01/2024,01/07/2024,01/07/2024,0.0,Medium,False,None,Medium,55.7,Completed on schedule,Lakshmi Iyer,40
T-1233,PRJ045,PRJ-INT,Open,HVAC Installation,Basement,01/21/2025,01/24/2025,,-1.0,High,False,None,Low,85.2,Completed 1 day(s) ahead of schedule,Rajan Mehta,40
T-1234,PRJ032,PRJ-STR,On Hold,Painting and Finishes,West Yard,08/04/2025,08/07/2025,,1.0,Medium,False,Site Constraint,Medium,48.7,Delay of 1 day(s) associated with site constraint,Asha Verma,40
T-1235,PRJ021,PRJ-ARC,Closed,Concrete Work,Grid A5,01/25/2024,02/10/2024,02/07/2024,-3.0,High,False,None,Low,56.4,Completed 3 day(s) ahead of schedule,Dev Kapoor,40
T-1236,PRJ012,PRJ-STR,Closed,Plumbing Work,Roof,02/08/2024,02/23/2024,02/18/2024,-5.0,High,False,None,Low,47.5,Completed 5 day(s) ahead of schedule,Priya Nair,40
T-1237,PRJ088,PRJ-INT,Open,Underground Utilities,Basement,10/06/2024,10/10/2024,,-7.0,Medium,False,None,Low,39.3,Completed 7 day(s) ahead of schedule,Suresh Kumar,40
T-1238,PRJ062,PRJ-ARC,In Progress,HVAC Installation,Mechanical,01/08/2025,01/20/2025,,0.0,High,False,None,Medium,106.9,Completed on schedule,Meena Pillai,30
T-1239,PRJ070,PRJ-MEP,In Progress,Structural Installation,South Facade,12/12/2024,12/22/2024,,4.0,Low,False,Crane Breakdown,Low,95.7,Delay of 4 day(s) associated with crane breakdown,Arjun Desai,40
T-1240,PRJ012,PRJ-ARC,In Progress,Painting and Finishes,West Yard,11/07/2024,11/25/2024,,-4.0,Low,False,None,Low,104.3,Completed 4 day(s) ahead of schedule,Lakshmi Iyer,40
T-1241,PRJ035,PRJ-ARC,In Progress,Painting and Finishes,North Wing,07/05/2024,08/04/2024,,4.0,High,False,Design Revision,High,76.2,Delay of 4 day(s) associated with design revision,Rajan Mehta,40
T-1242,PRJ063,PRJ-STR,Open,Electrical Installation,North Wing,02/13/2024,03/06/2024,,3.0,High,False,Crane Breakdown,Low,98.3,Delay of 3 day(s) associated with crane breakdown,Asha Verma,40
T-1243,PRJ053,PRJ-ARC,In Progress,Painting and Finishes,South Facade,01/23/2024,02/20/2024,,-5.0,Low,False,None,Low,22.2,Completed 5 day(s) ahead of schedule,Dev Kapoor,40
T-1244,PRJ070,PRJ-MEP,In Progress,Painting and Finishes,Roof,03/13/2024,03/21/2024,,0.0,Medium,False,None,Low,100.9,Completed on schedule,Priya Nair,40
T-1245,PRJ067,PRJ-MEP,In Progress,HVAC Installation,Roof,05/18/2025,05/27/2025,,-5.0,Medium,False,None,Low,80.3,Completed 5 day(s) ahead of schedule,Suresh Kumar,40
T-1246,PRJ042,PRJ-MEP,Open,Flooring Work,Basement,07/27/2025,08/20/2025,,3.0,High,False,Weather Delay,Low,93.8,Delay of 3 day(s) associated with weather delay,Meena Pillai,30
T-1247,PRJ079,PRJ-MEP,In Progress,Underground Utilities,West Yard,11/13/2024,11/24/2024,,2.0,Medium,False,Site Constraint,Medium,86.4,Delay of 2 day(s) associated with site constraint,Arjun Desai,40
T-1248,PRJ026,PRJ-MEP,Closed,Painting and Finishes,Grid A5,02/26/2024,03/23/2024,03/19/2024,-4.0,Medium,False,None,Low,45.4,Completed 4 day(s) ahead of schedule,Lakshmi Iyer,40
T-1249,PRJ009,PRJ-INT,In Progress,Plumbing Work,Roof,10/30/2024,11/14/2024,,6.0,Medium,False,Labor Shortage,High,30.1,Delay of 6 day(s) associated with labor shortage,Rajan Mehta,40
T-1250,PRJ092,PRJ-INT,In Progress,Underground Utilities,Grid A5,12/20/2025,12/28/2025,,5.0,Medium,False,Labor Shortage,High,53.6,Delay of 5 day(s) associated with labor shortage,Asha Verma,40
T-1251,PRJ003,PRJ-STR,In Progress,Painting and Finishes,Lobby,07/01/2024,07/27/2024,,-3.0,Medium,False,None,Low,91.9,Completed 3 day(s) ahead of schedule,Dev Kapoor,40
T-1252,PRJ029,PRJ-INT,Closed,Flooring Work,Mechanical,12/24/2024,01/11/2025,01/06/2025,-5.0,High,False,None,Low,95.7,Completed 5 day(s) ahead of schedule,Priya Nair,40
T-1253,PRJ012,PRJ-INT,In Progress,Site Preparation,Lobby,01/27/2025,02/21/2025,,-2.0,Medium,False,None,Low,34.0,Completed 2 day(s) ahead of schedule,Suresh Kumar,40
T-1254,PRJ024,PRJ-MEP,In Progress,Electrical Installation,North Wing,08/28/2024,09/12/2024,,-1.0,Low,False,None,Medium,45.6,Completed 1 day(s) ahead of schedule,Meena Pillai,30
T-1255,PRJ040,PRJ-SITE,On Hold,Painting and Finishes,South Facade,11/15/2024,11/21/2024,,-6.0,Low,False,None,Low,53.3,Completed 6 day(s) ahead of schedule,Arjun Desai,40
T-1256,PRJ013,PRJ-STR,In Progress,Curtain Wall Installation,Lobby,12/10/2024,01/01/2025,,4.0,Medium,False,Crane Breakdown,High,64.3,Delay of 4 day(s) associated with crane breakdown,Lakshmi Iyer,40
T-1257,PRJ047,PRJ-INT,On Hold,Electrical Installation,Grid A5,12/12/2024,12/18/2024,,-4.0,High,False,None,Medium,34.1,Completed 4 day(s) ahead of schedule,Rajan Mehta,40
T-1258,PRJ093,PRJ-STR,Closed,Site Preparation,Lobby,06/07/2025,06/28/2025,07/05/2025,7.0,Low,True,Labor Shortage,High,32.3,Delay of 7 day(s) associated with labor shortage,Asha Verma,40
T-1259,PRJ014,PRJ-SITE,Open,Site Preparation,North Wing,02/28/2025,03/14/2025,,0.0,Low,False,None,Medium,50.3,Completed on schedule,Dev Kapoor,40
T-1260,PRJ093,PRJ-ARC,In Progress,Site Preparation,Roof,02/08/2024,03/04/2024,,2.0,Medium,False,Material Delay,High,77.6,Delay of 2 day(s) associated with material delay,Priya Nair,40
T-1261,PRJ042,PRJ-INT,Closed,Concrete Work,Mechanical,01/05/2024,02/01/2024,01/26/2024,-6.0,Low,False,None,Low,39.6,Completed 6 day(s) ahead of schedule,Suresh Kumar,40
T-1262,PRJ060,PRJ-MEP,On Hold,Electrical Installation,Grid A5,10/26/2024,11/09/2024,,-3.0,High,False,None,Medium,71.5,Completed 3 day(s) ahead of schedule,Meena Pillai,30
T-1263,PRJ045,PRJ-ARC,In Progress,Flooring Work,West Yard,10/24/2025,11/20/2025,,-3.0,Medium,False,None,Low,106.8,Completed 3 day(s) ahead of schedule,Arjun Desai,40
T-1264,PRJ032,PRJ-SITE,Open,Plumbing Work,Roof,01/27/2024,02/02/2024,,5.0,Low,False,Material Delay,High,35.9,Delay of 5 day(s) associated with material delay,Lakshmi Iyer,40
T-1265,PRJ011,PRJ-MEP,In Progress,Plumbing Work,Grid A5,02/21/2024,02/27/2024,,7.0,High,False,Weather Delay,Medium,68.8,Delay of 7 day(s) associated with weather delay,Rajan Mehta,40
T-1266,PRJ060,PRJ-INT,Open,Flooring Work,Roof,05/10/2025,06/09/2025,,8.0,Low,False,Design Revision,High,105.7,Delay of 8 day(s) associated with design revision,Asha Verma,40
T-1267,PRJ092,PRJ-ARC,Closed,Painting and Finishes,Lobby,11/25/2024,12/14/2024,12/10/2024,-4.0,Medium,False,None,Low,62.5,Completed 4 day(s) ahead of schedule,Dev Kapoor,40
T-1268,PRJ053,PRJ-ARC,In Progress,Concrete Work,Mechanical,06/17/2024,07/02/2024,,3.0,Low,False,Site Constraint,High,57.8,Delay of 3 day(s) associated with site constraint,Priya Nair,40
